action_kind,agent,avg_latency_s,avg_rate_bps,energy_j,final_edge,latency_s,matched,packet_loss,pair_id,route,scenario,task,time_s
DIRECT,PKW160,7.338129349347107,458095.16223478847,3.6673602766895534,9,7.338129349347107,1,0.5380216851825614,300.0:PKW160_300_1:PKW160,DIRECT_E9,No-UAV-relay,PKW160_300_1,300.0
UAV_RELAY,PKW164,79.51441282533112,215343.60459453726,39.74842882214256,1,79.51441282533112,1,0.8692430106708983,300.0:PKW164_300_2:PKW164,UAV3->E1,UAV-relay,PKW164_300_2,300.0
WIRED_1HOP,PKW164,78.42078732985117,215343.60945942966,39.19655207440258,1,78.42078732985117,1,0.8309773346672665,300.0:PKW164_300_2:PKW164,E2->E1,No-UAV-relay,PKW164_300_2,300.0
UAV_RELAY,PKW165,53.4546146498689,294468.26877729344,26.72463106142678,1,53.4546146498689,1,0.776556806861864,300.0:PKW165_300_2:PKW165,UAV3->E1,UAV-relay,PKW165_300_2,300.0
WIRED_1HOP,PKW165,12.372481512033364,1250031.4755840786,6.178932492509015,1,12.372481512033364,1,0.26894162135767596,300.0:PKW165_300_2:PKW165,E0->E1,No-UAV-relay,PKW165_300_2,300.0
UAV_RELAY,PKW166,70.76438665862612,307002.7049087686,35.36049134023806,2,70.76438665862612,1,0.7620891452739749,300.0:PKW166_300_1:PKW166,UAV4->E2,UAV-relay,PKW166_300_1,300.0
WIRED_1HOP,PKW166,46.48717524174288,458123.1096223692,23.229454169936776,4,46.48717524174288,1,0.537987808373215,300.0:PKW166_300_1:PKW166,E3->E4,No-UAV-relay,PKW166_300_1,300.0
UAV_RELAY,PKW168,8.334038329404866,215317.8157911124,4.145109487652433,2,8.334038329404866,1,0.8695456006095181,300.0:PKW168_300_0:PKW168,UAV4->E2,UAV-relay,PKW168_300_0,300.0
WIRED_1HOP,PKW168,8.175797411080737,215328.03041647174,4.087139952374313,1,8.175797411080737,1,0.8309997299290864,300.0:PKW168_300_0:PKW168,E2->E1,No-UAV-relay,PKW168_300_0,300.0
UAV_RELAY,PKW182,9.352647637690461,1250027.810809678,4.675159820809481,1,9.352647637690461,1,0.43444966511838223,300.0:PKW182_300_1:PKW182,UAV3->E1,UAV-relay,PKW182_300_1,300.0
WIRED_1HOP,PKW182,8.652907765613412,1250031.863426002,4.322049884770956,1,8.652907765613412,1,0.2689414824807713,300.0:PKW182_300_1:PKW182,E0->E1,No-UAV-relay,PKW182_300_1,300.0
UAV_RELAY,PKW184,50.971793933497054,294468.44517816766,25.47838977604328,1,50.971793933497054,1,0.7765565959070924,300.0:PKW184_300_2:PKW184,UAV3->E1,UAV-relay,PKW184_300_2,300.0
DIRECT,PKW184,50.003392567314215,294468.4452600411,24.99418909295186,1,50.003392567314215,1,0.7111665054505083,300.0:PKW184_300_2:PKW184,DIRECT_E1,No-UAV-relay,PKW184_300_2,300.0
UAV_RELAY,PKW185,8.276372129488257,458122.7291294126,4.137441890651851,6,8.276372129488257,1,0.6425859441828183,300.0:PKW185_300_0:PKW185,UAV2->E6,UAV-relay,PKW185_300_0,300.0
WIRED_1HOP,PKW185,8.037956975221675,458122.35006290476,4.01713031351856,6,8.037956975221675,1,0.5379887290617328,300.0:PKW185_300_0:PKW185,E7->E6,No-UAV-relay,PKW185_300_0,300.0
UAV_RELAY,PKW193,43.39052372098731,215337.7771907853,21.665637390418656,2,43.39052372098731,1,0.8695234488740557,300.0:PKW193_300_0:PKW193,UAV4->E2,UAV-relay,PKW193_300_0,300.0
WIRED_1HOP,PKW193,20.166452898377283,456549.2735546354,10.077422796813975,4,20.166452898377283,1,0.5398981327915832,300.0:PKW193_300_0:PKW193,E3->E4,No-UAV-relay,PKW193_300_0,300.0
UAV_RELAY,PKW193,95.01496230059828,215337.7771907853,47.47600539712414,2,95.01496230059828,1,0.8695234488740557,300.0:PKW193_300_2:PKW193,UAV4->E2,UAV-relay,PKW193_300_2,300.0
WIRED_1HOP,PKW193,44.186669516444134,456549.2735546354,22.082700368050066,4,44.186669516444134,1,0.5398981327915832,300.0:PKW193_300_2:PKW193,E3->E4,No-UAV-relay,PKW193_300_2,300.0
UAV_RELAY,PKW198,71.64762817717289,320646.2930748555,35.793662019336445,7,71.64762817717289,1,0.7453879841285188,300.0:PKW198_300_0:PKW198,UAV1->E7,UAV-relay,PKW198_300_0,300.0
WIRED_1HOP,PKW198,70.14983315133249,320648.9035321154,35.05841285781291,9,70.14983315133249,1,0.67087223203751,300.0:PKW198_300_0:PKW198,E8->E9,No-UAV-relay,PKW198_300_0,300.0
UAV_RELAY,PKW199,10.435952151363354,458122.70397086104,5.216774835955483,6,10.435952151363354,1,0.6425859677743005,300.0:PKW199_300_1:PKW199,UAV2->E6,UAV-relay,PKW199_300_1,300.0
WIRED_1HOP,PKW199,10.135352506047772,458121.83791166946,5.065083013297691,6,10.135352506047772,1,0.5379893498587988,300.0:PKW199_300_1:PKW199,E7->E6,No-UAV-relay,PKW199_300_1,300.0
UAV_RELAY,PKW199,20.15704177581276,458122.70397086104,10.07377209756563,6,20.15704177581276,1,0.6425859677743005,300.0:PKW199_300_2:PKW199,UAV2->E6,UAV-relay,PKW199_300_2,300.0
WIRED_1HOP,PKW199,19.57657349520336,458121.83791166946,9.78084995726093,6,19.57657349520336,1,0.5379893498587988,300.0:PKW199_300_2:PKW199,E7->E6,No-UAV-relay,PKW199_300_2,300.0
UAV_RELAY,PKW201,30.144472919899115,215343.60602671007,15.070494242688584,1,30.144472919899115,1,0.8692430090781836,300.0:PKW201_300_0:PKW201,UAV3->E1,UAV-relay,PKW201_300_0,300.0
WIRED_1HOP,PKW201,29.72982837993411,215343.6094594219,14.86125197270608,1,29.72982837993411,1,0.8309773346672786,300.0:PKW201_300_0:PKW201,E2->E1,No-UAV-relay,PKW201_300_0,300.0
UAV_RELAY,PKW201,44.08479404535246,215343.60602671007,22.04059782617948,1,44.08479404535246,1,0.8692430090781836,300.0:PKW201_300_1:PKW201,UAV3->E1,UAV-relay,PKW201_300_1,300.0
WIRED_1HOP,PKW201,43.478376405653634,215343.6094594219,21.734581006330064,1,43.478376405653634,1,0.8309773346672786,300.0:PKW201_300_1:PKW201,E2->E1,No-UAV-relay,PKW201_300_1,300.0
UAV_RELAY,PKW201,70.83476540620737,215343.60602671007,35.415661460744985,1,70.83476540620737,1,0.8692430090781836,300.0:PKW201_300_2:PKW201,UAV3->E1,UAV-relay,PKW201_300_2,300.0
WIRED_1HOP,PKW201,69.86035073728961,215343.6094594219,34.92394212628611,1,69.86035073728961,1,0.8309773346672786,300.0:PKW201_300_2:PKW201,E2->E1,No-UAV-relay,PKW201_300_2,300.0
UAV_RELAY,PKW203,58.03262779192149,215343.60569629451,29.0107014598188,1,58.03262779192149,1,0.8692430094456371,300.0:PKW203_300_0:PKW203,UAV3->E1,UAV-relay,PKW203_300_0,300.0
WIRED_1HOP,PKW203,57.23443696470443,215343.60945942966,28.607910046210268,1,57.23443696470443,1,0.8309773346672665,300.0:PKW203_300_0:PKW203,E2->E1,No-UAV-relay,PKW203_300_0,300.0
UAV_RELAY,PKW203,102.87888546143658,215343.60569629451,51.428061673548875,1,102.87888546143658,1,0.8692430094456371,300.0:PKW203_300_1:PKW203,UAV3->E1,UAV-relay,PKW203_300_1,300.0
WIRED_1HOP,PKW203,101.46391081318815,215343.60945942966,50.71402234942466,1,101.46391081318815,1,0.8309773346672665,300.0:PKW203_300_1:PKW203,E2->E1,No-UAV-relay,PKW203_300_1,300.0
UAV_RELAY,PKW203,77.25013197409461,215343.60569629451,38.618141550297864,1,77.25013197409461,1,0.8692430094456371,300.0:PKW203_300_2:PKW203,UAV3->E1,UAV-relay,PKW203_300_2,300.0
WIRED_1HOP,PKW203,76.1876052235784,215343.60945942966,38.08195817503975,1,76.1876052235784,1,0.8309773346672665,300.0:PKW203_300_2:PKW203,E2->E1,No-UAV-relay,PKW203_300_2,300.0
UAV_RELAY,PKW210,15.943840437407992,1250030.4890864645,7.965071336598857,1,15.943840437407992,1,0.43444892320625295,300.0:PKW210_300_0:PKW210,UAV3->E1,UAV-relay,PKW210_300_0,300.0
WIRED_1HOP,PKW210,14.751731220166455,1250031.1282897054,7.363496727978089,1,14.751731220166455,1,0.2689417457155469,300.0:PKW210_300_0:PKW210,E0->E1,No-UAV-relay,PKW210_300_0,300.0
UAV_RELAY,PKW215,17.322933240771814,1250030.080543508,8.657688846050629,1,17.322933240771814,1,0.43444903637693966,300.0:PKW215_300_1:PKW215,UAV3->E1,UAV-relay,PKW215_300_1,300.0
